"","HC16","HC13","HC06","HC03","RRMS18","RRMS16","SPMS10","SPMS03"
"circ_10436",0,0,0,0,0,4,0,0
"circ_10437",2,0,0,2,0,0,4,0
"circ_10438",2,7,0,6,4,0,14,0
"circ_10439",0,0,0,0,0,0,0,0
"circ_1044",4,4,5,0,5,5,0,0
"circ_10440",0,0,0,0,0,0,0,0
"circ_10441",0,0,0,0,0,0,0,0
"circ_10442",10,10,15,11,18,14,16,9
"circ_10443",0,0,0,0,0,0,0,0
"circ_10444",0,0,0,0,0,0,0,0
"circ_10445",0,0,0,2,0,0,0,0
"circ_10446",0,0,0,0,0,0,0,0
"circ_10447",0,0,0,0,2,0,0,0
"circ_10448",0,0,0,0,5,0,0,0
"circ_10449",13,6,7,3,6,7,4,6
"circ_1045",0,0,0,0,0,0,0,0
"circ_10450",2,0,5,2,3,4,0,0
"circ_10451",0,0,0,0,0,0,0,0
"circ_10452",0,0,4,0,0,0,0,0
"circ_10453",65,71,98,134,100,93,51,80
"circ_10454",0,0,0,0,0,0,0,0
"circ_10455",0,0,0,0,0,0,0,0
"circ_10456",9,14,15,10,24,22,9,8
"circ_10457",0,0,0,0,0,0,0,0
"circ_10458",0,0,0,0,0,0,0,0
"circ_10459",0,0,2,0,3,0,0,0
"circ_1046",0,0,0,0,0,0,0,0
"circ_10460",3,2,9,6,3,10,6,4
"circ_10461",10,13,15,14,17,8,13,10
"circ_10462",0,0,0,4,0,2,0,0
"circ_10463",0,0,0,0,0,0,0,0
"circ_10464",0,0,0,0,2,0,0,0
"circ_10465",0,0,0,0,0,3,0,0
"circ_10466",0,0,0,0,0,0,0,0
"circ_10467",0,0,0,0,0,0,0,3
"circ_10468",0,0,0,0,0,2,0,2
"circ_10469",0,0,0,0,0,0,5,0
"circ_1047",5,0,6,5,6,4,15,12
"circ_10470",73,70,66,68,103,140,83,94
"circ_10471",0,0,0,0,0,0,0,0
"circ_10472",0,0,0,0,0,0,0,0
"circ_10473",0,0,0,0,0,0,0,0
"circ_10474",0,0,5,0,0,0,2,0
"circ_10475",0,0,0,0,0,0,0,0
"circ_10476",0,0,0,0,0,0,0,0
"circ_10477",0,0,0,0,4,0,0,0
"circ_10478",21,13,25,15,20,25,11,10
"circ_10479",14,14,6,22,17,25,9,13
"circ_1048",0,0,0,0,0,0,0,4
"circ_10480",0,0,0,3,0,0,0,0
"circ_10481",0,0,0,0,0,0,0,0
"circ_10482",4,4,0,2,2,0,3,3
"circ_10483",0,8,0,0,4,3,4,3
"circ_10484",0,2,0,0,0,0,0,0
"circ_10485",2,3,0,0,0,0,0,0
"circ_10486",0,0,0,0,0,0,3,0
"circ_10487",0,0,0,0,0,0,0,0
"circ_10488",0,6,0,0,5,4,0,0
"circ_10489",0,2,5,0,2,3,2,0
"circ_1049",0,0,0,0,0,0,0,0
"circ_10490",0,0,0,0,0,2,0,0
"circ_10491",0,0,0,0,0,0,0,0
"circ_10492",0,0,0,0,0,0,0,0
"circ_10493",17,29,27,31,35,39,51,30
"circ_10494",2,4,4,0,3,8,7,5
"circ_10495",0,0,0,0,0,3,0,0
"circ_10496",0,0,0,0,0,0,0,3
"circ_10497",0,0,0,0,0,0,0,0
"circ_10498",0,0,0,0,0,0,0,0
"circ_10499",0,0,0,0,0,0,0,0
"circ_105",0,3,2,0,0,2,0,2
"circ_1050",0,0,0,0,0,0,0,0
"circ_10500",0,0,0,0,0,0,0,0
"circ_10501",0,0,0,0,0,0,0,0
"circ_10502",0,0,0,0,0,0,0,0
"circ_10503",0,0,0,2,2,0,0,0
"circ_10504",0,0,0,0,2,0,0,0
"circ_10505",2,0,0,0,0,2,0,0
"circ_10506",0,3,3,0,0,4,0,0
"circ_10507",33,18,19,28,37,38,21,21
"circ_10508",0,5,0,0,0,0,0,0
"circ_10509",0,0,0,0,0,0,0,0
"circ_1051",0,0,0,0,0,0,0,0
"circ_10510",0,0,0,0,0,0,0,0
"circ_10511",0,0,0,3,0,0,0,0
"circ_10512",0,0,3,0,5,0,0,0
"circ_10513",3,3,2,0,0,0,0,5
"circ_10514",0,0,0,0,0,0,0,0
"circ_10515",0,0,0,4,0,0,0,0
"circ_10516",0,0,0,0,0,0,0,0
"circ_10517",8,8,6,10,10,10,7,6
"circ_10518",0,5,0,3,5,2,0,3
"circ_10519",0,0,0,0,0,0,0,0
"circ_1052",0,0,0,0,0,0,0,0
"circ_10520",0,0,0,0,0,0,0,0
"circ_10521",0,0,0,0,0,0,0,0
"circ_10522",0,0,0,0,0,0,0,0
"circ_10523",0,2,0,0,0,0,0,0
"circ_10524",0,0,0,0,0,0,0,0
"circ_10525",0,0,0,0,2,0,0,0
"circ_10526",0,0,0,0,0,0,0,0
"circ_10527",0,0,0,0,5,0,0,0
"circ_10528",3,0,4,0,6,0,0,0
"circ_10529",2,0,0,0,0,0,0,0
"circ_1053",0,0,0,0,0,0,0,0
"circ_10530",0,0,0,2,0,0,0,0
"circ_10531",0,0,3,2,0,4,3,0
"circ_10532",0,0,0,0,0,0,0,0
"circ_10533",29,19,19,25,36,39,35,34
"circ_10534",0,0,0,0,0,0,0,0
"circ_10535",0,0,0,0,0,0,0,0
"circ_10536",0,0,0,0,3,2,5,0
"circ_10537",3,2,0,8,5,3,4,3
"circ_10538",3,0,3,4,4,0,5,0
