HC16,HC13,HC06,HC03,RRMS18,RRMS16,SPMS10,SPMS03
0,0,0,0,0,1,0,0
84,75,54,57,52,46,41,82
0,0,0,0,0,0,0,0
1069,1004,1194,1360,1256,960,467,821
12,6,1,8,1,1,1,1
0,0,0,0,0,0,0,0
9,10,10,25,5,6,5,15
615,848,656,588,718,732,591,916
24,29,30,96,12,6,5,46
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
5,3,0,6,4,5,3,1
656,817,722,659,504,651,1048,805
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3,0,3,2,0,0,0,0
8,10,3,2,3,5,0,6
160,185,154,220,243,162,73,120
0,0,0,0,0,1,0,0
670,697,687,807,806,809,583,663
116,117,94,146,142,66,71,61
276,270,318,278,307,323,264,276
15,34,15,20,24,11,23,23
0,0,0,0,0,0,0,0
71,72,26,65,29,70,49,26
0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,2,0,1,1,0
838,987,745,1235,981,900,844,776
1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
26,28,18,16,29,11,15,20
135,106,123,127,170,173,212,89
2,4,0,3,0,1,2,0
10,10,4,22,2,2,3,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
10,8,4,3,9,4,6,6
14,25,22,29,26,24,9,16
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
248,165,239,114,131,136,99,156
3,11,12,13,7,2,4,16
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,5,0,1,1,0,2,0
1,1,2,3,0,1,0,1
2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0
7,17,5,4,20,4,0,16
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,1,0,1,0
0,2,0,1,0,0,0,0
1328,1482,1799,1909,1834,1345,1064,1280
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
3,5,10,1,5,6,3,3
0,0,0,0,0,0,0,0
6,48,8,15,19,5,9,14
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
509,360,459,166,203,676,536,492
149,157,52,234,240,153,184,124
0,0,0,0,0,0,0,0
