,logFC,logCPM,LR,PValue,DE,FDR
2736,4.50490397213022,-2.49994521153436,4.3533472909208,0.0369362818156632,0,1
16482,1.094182222463,-0.756015197733622,4.33336286018183,0.0373723400932425,0,1
10636,-4.51146395206818,-2.48232897993756,4.31616089426654,0.037752003824532,0,1
13229,-4.38520867064253,-2.45886210871263,4.30327654152254,0.0380390196880287,0,1
11984,4.42222115791922,-2.48770240105088,4.28419302198863,0.0384683395230636,0,1
21787,4.4445590263802,-2.48835483045293,4.28332412321887,0.0384880075323872,0,1
21933,-4.4831606005548,-2.48576030590719,4.27779822324396,0.0386133363400929,0,1
13138,-4.47919718761608,-2.47055157358222,4.27466677431227,0.0386845482654708,0,1
5684,4.47263587174468,-2.50987555465218,4.26488103910426,0.038907973473258,0,1
10078,4.45895074200947,-2.50654701176204,4.25154093498947,0.0392147331320261,0,1
4602,-4.48606337365953,-2.49074060725589,4.24356948584128,0.0393992488661147,0,1
16831,-4.47465468536435,-2.49096437894543,4.24075978438964,0.0394645021232412,0,1
8473,1.20287984900825,-0.965452563836629,4.22546250959273,0.0398217647837829,0,1
13092,1.64006291653712,-1.48735690462122,4.2210065487294,0.0399264692616126,0,1
3619,1.34522548609061,-1.20039479045078,4.19281611942328,0.0405956089668672,0,1
9786,-4.28028920897073,-2.44502579419407,4.19239590097103,0.0406056720331246,0,1
824,4.44573850900382,-2.518086939264,4.18628664423405,0.0407522679761687,0,1
3236,-1.57108923195495,-1.39095884936337,4.17223505689014,0.0410915588864907,0,1
6108,2.48122977032632,-1.85827767631557,4.16118316793135,0.0413605026717536,0,1
19615,-3.06753243392836,-2.07683557168147,4.1365341145825,0.0419670117939379,0,1
3692,-4.43231703162068,-2.50069093567894,4.10108208383229,0.0428557769946229,0,1
18163,-2.25270375527069,-1.82606444274993,4.09641184239916,0.0429743244986155,0,1
11365,4.37948435886309,-2.51654093740603,4.09534755992179,0.0430013880268016,0,1
7755,1.90667049907856,-1.64221677787899,4.08385850570707,0.043294685788478,0,1
13564,2.85040454181456,-2.03484911585474,4.08114996703647,0.0433641365974181,0,1
14198,4.3892295276928,-2.52307320251683,4.07975381044227,0.0433999818142776,0,1
7333,-1.10849342198899,-0.884924753062067,4.07903838601824,0.0434183618472718,0,1
13246,-4.41313953346379,-2.51108741664299,4.07109317651048,0.0436230342527809,0,1
5137,0.966691095062799,-0.518630920921541,4.06757335319361,0.0437140307977996,0,1
10465,4.40685529477091,-2.53308423475168,4.06669084756257,0.0437368771518863,0,1
11672,-2.87130548045001,-1.98553963825843,4.03625711030387,0.0445324857241914,0,1
13597,-1.08233614384739,-0.807112999618358,4.03536242177745,0.0445561041876657,0,1
4096,-4.34158286627108,-2.49636787212545,4.03533576417925,0.0445568081113963,0,1
15930,4.40598833835959,-2.54113477931176,4.01108586099298,0.045202029905098,0,1
3761,-4.31609443666746,-2.49958900713178,3.98972198190206,0.0457786171953284,0,1
6774,-1.56322484509219,-1.40781875104749,3.97312161756646,0.0462319904957737,0,1
12786,4.16176091010041,-2.34786701375531,3.96902291376772,0.0463446571629424,0,1
