,HC16,HC13,HC06,HC03,RRMS18,RRMS16,SPMS10,SPMS03
21561,0,0,0,0,0,0,0,0
21562,0,0,0,0,0,0,0,0
21563,0,1,0,1,0,0,0,0
21564,10,1,3,13,11,8,7,11
21565,6753,5809,6595,5437,6925,8726,6849,7300
21566,9,18,15,17,32,19,7,12
21567,0,0,0,0,0,0,0,0
21568,4,3,2,1,6,5,0,0
21569,0,0,0,0,0,0,0,0
21570,0,0,0,0,0,0,0,0
21571,58,74,81,80,77,52,35,69
21572,6,13,5,2,4,3,8,2
21573,8,9,5,16,8,13,11,13
21574,2,4,2,1,10,3,4,4
21575,676,726,681,836,700,623,344,454
21576,0,0,0,0,0,0,0,0
21577,0,0,0,0,0,0,0,0
21578,0,0,1,0,0,1,0,0
21579,0,0,0,0,0,0,0,0
21580,266,256,254,297,255,229,146,228
21581,0,0,0,0,0,0,0,0
21582,0,0,0,0,0,0,0,0
21583,66,53,60,81,67,49,42,42
21584,0,0,0,0,0,0,0,0
21585,0,0,0,0,0,0,0,0
21586,0,0,0,0,0,0,0,0
21587,0,0,0,0,0,0,0,0
21588,59,91,34,65,72,86,87,69
21589,1,5,3,2,8,5,3,6
21590,0,0,0,0,0,0,0,0
21591,0,0,0,0,1,1,0,0
21592,15,8,18,13,19,21,9,10
21593,25,28,13,9,12,0,0,52
21594,10,6,6,3,1,7,2,4
21595,0,2,0,2,0,0,0,3
21596,2633,2540,3033,3304,2967,2449,2172,2137
21597,5,3,1,8,1,4,0,1
21598,1,2,0,0,0,0,1,0
21599,0,0,0,2,0,0,0,0
21600,0,0,0,1,0,0,0,0
21601,0,0,0,0,0,0,0,0
21602,0,0,0,0,0,0,0,0
21603,89,79,66,104,58,65,90,72
21604,5,9,4,7,12,5,8,4
21605,1,2,7,13,5,0,1,0
21606,0,0,0,0,0,0,0,0
21607,0,0,0,0,0,0,0,0
21608,0,0,0,0,0,0,0,0
21609,1,0,0,1,0,0,0,0
21610,0,0,0,0,0,0,0,0
21611,9,5,0,7,4,0,1,1
21612,2,0,0,0,0,0,0,0
21613,29,32,73,15,22,31,31,36
21614,24,0,32,46,76,68,52,39
21615,0,0,0,0,0,0,0,0
21616,0,0,0,0,0,0,0,0
21617,0,0,0,0,0,0,0,1
21618,0,0,0,0,0,0,0,0
21619,26,20,30,20,20,17,23,25
21620,0,0,0,0,0,0,0,0
21621,0,0,0,0,0,0,0,0
21622,2,4,0,1,0,2,3,0
21623,0,0,0,0,0,0,0,0
21624,369,395,417,507,479,412,329,357
21625,143,202,207,284,263,175,94,142
21626,33,56,73,74,79,41,24,37
21627,0,0,0,0,0,0,0,0
21628,4217,4205,3978,4282,4704,5187,5522,4365
21629,0,0,0,0,0,0,0,0
21630,1,4,1,1,5,0,2,2
21631,0,0,0,0,0,0,0,0
21632,0,0,0,0,0,0,0,0
21633,0,0,0,0,0,0,0,0
21634,0,0,0,0,0,0,0,0
21635,1500,1035,525,685,574,1024,954,564
21636,0,0,0,0,0,0,0,0
21637,4,10,13,18,14,9,11,5
21638,0,0,0,0,0,0,0,0
21639,0,0,0,0,0,0,0,0
21640,0,0,0,0,0,0,0,0
21641,0,0,0,0,0,0,0,0
21642,23,42,49,49,57,29,10,23
21643,0,0,0,0,1,0,0,0
21644,278,251,239,315,342,302,130,271
21645,693,800,755,913,899,816,707,737
21646,1916,1470,800,1058,872,1447,1101,988
21647,0,0,0,0,0,0,0,0
21648,0,0,0,0,0,0,0,0
21649,0,0,0,0,0,0,0,0
21650,3,0,1,0,3,3,2,3
21651,0,0,0,0,0,0,0,0
21652,1,2,0,0,0,0,0,0
21653,9,2,7,4,3,6,4,7
21654,0,0,0,0,0,0,0,0
21655,36,39,22,24,22,15,15,47
21656,0,0,0,0,0,0,0,0
21657,0,0,0,0,0,0,0,0
21658,3,5,4,0,1,5,1,2
21659,0,0,0,0,0,0,0,0
21660,127,138,66,94,54,80,96,50
21661,0,1,0,0,0,0,0,0
21662,0,0,0,0,0,0,0,0
21663,0,1,1,6,2,0,0,0
21664,0,0,0,0,0,1,0,0
21665,0,0,0,6,2,0,1,1
21666,0,0,0,0,0,0,0,1
21667,3,9,8,12,15,6,3,9
21668,0,0,0,0,0,1,0,0
21669,4379,2910,1803,2190,1775,2661,2312,2010
21670,0,0,3,2,0,1,2,2
21671,0,1,0,0,0,0,0,0
21672,0,0,0,0,0,0,0,0
21673,0,0,0,0,0,0,0,0
21674,0,0,0,0,0,0,0,0
21675,12,23,32,30,39,19,22,13
21676,0,0,0,0,0,0,0,0
21677,24,19,10,17,34,24,14,6
21678,6,2,1,4,3,9,5,6
21679,5,5,1,3,4,7,0,2
21680,34,85,74,134,153,118,289,83
21681,7,7,0,2,4,7,7,5
21682,470,572,491,686,655,571,378,452
21683,387,459,387,447,474,429,421,386
21684,0,0,0,0,0,0,0,0
21685,0,0,0,0,0,0,0,0
21686,81,95,131,146,104,72,33,76
21687,2,1,0,0,1,1,1,0
21688,0,0,0,0,0,0,0,0
21689,1,0,2,1,0,0,0,0
21690,5,5,0,17,7,2,4,2
21691,4,4,4,5,6,2,2,5
21692,68,29,19,39,76,66,100,63
21693,0,0,0,0,0,0,0,0
21694,0,0,0,0,0,0,0,0
21695,1,1,0,2,2,1,0,1
21696,0,0,0,0,0,0,0,0
21697,0,0,0,0,0,0,0,0
21698,0,0,3,0,0,0,0,0
21699,0,0,0,0,0,0,0,0
21700,0,0,0,0,0,0,0,0
21701,0,0,0,0,0,0,0,0
21702,103,136,97,168,188,146,106,132
21703,0,0,0,0,0,0,0,0
21704,0,0,0,0,0,0,0,0
21705,31,132,44,227,122,95,113,218
21706,1,1,2,3,10,1,1,1
21707,0,0,0,2,0,0,0,0
21708,4,1,2,2,3,6,1,2
21709,78,121,84,86,108,74,75,132
21710,0,0,0,0,0,0,0,0
21711,37,38,24,44,36,50,55,26
21712,89,137,125,82,103,146,141,178
21713,5011,4794,3827,4681,4324,5101,4598,4108
21714,0,0,0,0,0,0,0,0
21715,0,0,0,0,0,0,0,0
21716,0,0,0,0,0,0,0,0
21717,0,0,0,0,0,0,0,0
21718,6,34,10,24,14,1,22,0
21719,0,0,0,0,0,0,0,0
21720,2007,2302,1431,1860,1635,1434,1847,1672
21721,2,1,1,1,0,5,2,3
21722,1189,1226,1233,1382,1528,1416,987,1259
21723,8,12,12,12,7,3,7,7
21724,0,0,0,0,0,0,0,0
21725,0,0,0,0,0,0,0,0
21726,0,0,1,0,0,0,0,0
21727,0,7,5,6,0,1,1,5
21728,0,1,0,0,0,0,0,0
21729,0,0,0,0,0,0,0,0
21730,0,2,2,1,2,3,0,0
21731,0,0,0,0,0,0,0,0
21732,0,0,1,0,0,0,0,0
21733,0,0,0,0,0,0,0,0
21734,0,0,0,0,0,0,0,0
21735,608,647,729,703,751,634,673,782
21736,0,0,0,0,0,0,0,0
21737,89,66,89,85,85,47,37,55
21738,44,36,37,43,54,84,78,35
21739,0,0,0,0,0,2,0,3
21740,0,0,0,0,0,0,0,0
21741,0,1,0,0,0,0,0,1
21742,203,258,237,251,244,279,175,169
21743,1,5,0,2,0,1,1,1
21744,0,0,0,0,0,0,0,0
21745,0,0,0,1,0,0,1,0
21746,234,220,187,259,227,213,175,258
21747,2,17,7,4,6,3,2,0
21748,2846,3711,4244,4544,4603,3642,2150,2707
21749,0,0,0,0,0,0,0,0
21750,1,0,2,0,0,0,0,2
21751,0,0,1,3,1,1,2,1
21752,2,0,0,3,1,0,0,1
21753,0,0,0,0,0,0,0,0
21754,18,13,13,24,11,3,5,2
21755,9,7,4,5,11,7,8,4
21756,0,1,0,0,0,0,0,0
21757,0,0,0,0,0,0,0,0
21758,260,222,256,215,296,309,216,268
21759,1,4,6,1,1,1,2,1
21760,24,26,23,15,12,16,6,15
21761,16,19,11,23,10,31,6,17
21762,0,4,1,11,0,4,2,11
21763,2,1,1,0,0,0,1,1
21764,13,9,10,11,5,4,8,9
21765,0,0,0,0,0,0,0,0
21766,0,0,0,0,0,0,0,0
21767,0,0,0,1,0,2,1,0
21768,0,0,0,0,0,0,0,0
21769,0,0,0,0,0,0,0,0
21770,182,575,176,372,385,174,209,340
21771,121,130,82,134,116,138,80,67
21772,2634,2787,2158,2556,2224,2292,1938,2046
21773,1,0,0,0,0,0,0,0
21774,153,128,63,82,97,96,113,138
21775,279,279,151,184,231,185,196,200
21776,0,0,0,0,0,0,0,0
21777,2,1,0,0,1,4,3,1
21778,0,4,0,3,1,3,1,0
21779,6,4,9,14,13,6,3,3
21780,0,0,0,0,0,0,0,0
21781,1397,1467,1535,1899,1583,1135,945,1132
21782,0,0,2,0,4,0,0,0
21783,0,0,0,0,0,0,0,0
